student_id,course_name,current_grade,attendance_rate,assignments_completed,missed_deadlines,participation_score,midterm_grade,study_group_attendance,office_hours_visits,extra_credit_completed
1,English Literature,79.03,73.89,10,2,78.58,77.69,8,5,1
1,Computer Science 101,73.7,73.89,12,3,72.11,68.03,1,6,2
1,Mathematics 201,73.33,73.89,10,2,74.27,69.17,10,5,1
1,Chemistry 201,79.26,73.89,10,1,75.26,68.63,6,5,2
1,Physics 101,72.94,73.89,11,2,79.17,76.23,6,0,0
2,Biology 101,64.08,66.39,11,2,63.46,72.24,0,0,2
2,Computer Science 101,68.23,66.39,11,0,73.46,60.77,10,1,1
2,Chemistry 201,64.3,66.39,8,0,56.55,62.62,7,2,1
2,English Literature,64.13,66.39,10,0,64.1,63.47,3,2,0
2,Physics 101,66.7,66.39,8,0,62.7,71.26,9,3,2
3,Computer Science 101,66.91,64.39,8,0,54.96,71.01,0,1,0
3,Chemistry 201,68.68,64.39,9,1,62.94,71.31,5,3,0
3,Physics 101,69.07,64.39,11,1,54.61,59.02,4,5,1
3,Biology 101,61.88,64.39,10,2,58.84,65.37,3,4,0
3,Mathematics 201,70.6,64.39,12,2,58.6,72.28,10,6,0
4,Computer Science 101,74.52,70.95,10,3,63.41,72.45,9,4,2
4,Chemistry 201,73.32,70.95,9,1,76.13,74.14,3,6,2
4,Physics 101,72.48,70.95,11,1,68.08,68.0,0,4,0
4,Biology 101,74.61,70.95,8,3,63.94,72.01,2,6,0
5,Mathematics 201,84.61,86.74,10,4,86.28,92.96,5,5,1
5,Computer Science 101,85.14,86.74,10,4,94.08,93.1,9,2,0
5,Biology 101,85.51,86.74,11,5,89.52,80.49,5,6,0
5,Physics 101,92.43,86.74,12,4,77.53,90.78,8,6,0
5,Chemistry 201,84.34,86.74,8,5,85.78,87.95,7,3,0
6,Physics 101,71.42,69.56,9,3,76.21,74.57,2,4,0
6,Mathematics 201,72.66,69.56,9,2,77.09,75.35,10,3,2
6,English Literature,71.22,69.56,11,1,76.3,71.75,6,4,0
6,Chemistry 201,75.57,69.56,11,1,63.57,67.07,5,2,2
7,Computer Science 101,76.81,77.45,10,4,67.5,82.74,7,1,0
7,Chemistry 201,77.17,77.45,11,5,76.23,80.49,10,1,2
7,Physics 101,75.89,77.45,12,3,67.99,80.09,1,0,2
7,Biology 101,72.22,77.45,8,5,68.56,76.63,10,6,1
8,Biology 101,83.77,80.6,8,4,71.09,80.62,9,3,1
8,English Literature,81.97,80.6,11,5,75.07,78.56,0,3,1
8,Mathematics 201,77.47,80.6,8,3,77.18,82.35,3,0,2
8,Physics 101,75.46,80.6,11,4,79.04,85.49,9,2,2
9,Chemistry 201,65.77,67.72,11,0,60.94,77.19,2,5,1
9,English Literature,71.86,67.72,9,2,62.04,66.06,10,6,1
9,Physics 101,70.99,67.72,8,1,75.6,71.85,8,1,1
9,Biology 101,75.32,67.72,12,2,66.39,62.68,8,4,1
10,Computer Science 101,66.16,70.2,11,3,76.8,73.23,4,6,0
10,Physics 101,65.74,70.2,8,1,65.88,66.52,5,1,1
10,Chemistry 201,72.35,70.2,10,3,71.75,63.39,4,4,0
10,Biology 101,72.68,70.2,10,2,65.46,75.55,10,1,0
10,Mathematics 201,64.68,70.2,10,3,77.51,62.67,5,5,1
11,Mathematics 201,87.03,87.44,8,3,96.06,91.85,1,5,1
11,Biology 101,89.68,87.44,8,4,83.2,86.37,8,5,0
11,Computer Science 101,83.93,87.44,10,4,94.99,88.96,7,5,1
11,Chemistry 201,87.83,87.44,11,5,93.26,89.98,9,0,0
12,Chemistry 201,73.51,73.46,9,2,82.02,73.02,8,6,0
12,Computer Science 101,71.0,73.46,11,3,69.07,73.26,3,4,0
12,Biology 101,71.48,73.46,11,1,80.71,67.77,1,1,0
12,English Literature,78.54,73.46,9,1,67.31,68.88,0,5,0
12,Physics 101,73.81,73.46,12,3,72.85,79.26,10,3,0
13,English Literature,71.49,69.52,8,5,63.25,69.08,8,6,1
